b,f2,358,2e0,ffd8,ff4e,ff71
fec6,e2,34c,2e0,ffc7,ff47,ffb8
feb7,f0,34c,2dc,ffbb,ff45,ffb7
ff7c,ee,34e,2d8,ffb3,ff3f,ff76
fefe,e2,34e,2d8,ffb0,ff36,ff7e
feb9,e2,350,2e2,ffa4,ff2a,ff93
ff5f,e6,358,2d8,ffad,ff29,ffa5
feb9,e0,352,2e0,ffb5,ff15,ffa9
fe03,ee,352,2d6,ffce,ff07,ffb2
ffdf,f6,356,2dc,ffc3,ffeb,24
fee2,ec,34e,2e0,ff95,fff1,9
29,e0,356,2e0,ff86,fff8,2a
25,e0,358,2d8,ff86,4,20
fffb,f0,34e,2d2,ff9b,13,33
ffa0,f0,358,2d0,ffb3,1d,35
a0,f0,352,2d6,ffb1,1b,3e
ff6c,fc,35c,2ce,ffa6,14,3a
ffbf,f2,34e,2ce,ffa4,c,ff7c
ff6b,e2,35c,2ce,ffb3,f,ff74
fe2f,d8,358,2e0,ffd9,3,ffed
fe40,fc,342,2d6,fff9,fff5,ffde
fd69,f0,352,2d8,8,ffee,ffd0
fc39,ec,34e,2d6,14,ffe2,ffb8
fbf8,ee,346,2ce,11,ffd5,ffa1
faf2,fe,34e,2cc,f,ffc7,ff8f
f9e0,fe,342,2ce,b2,ff71,ff5b
f70f,ec,34c,2d8,91,ff70,ff73
f35e,f0,360,2e2,1b,ff7c,fef0
f076,e0,378,2e0,ffc1,ff94,ff03
efc4,f0,366,2c6,ffa8,ff8d,ff1d
ee6e,f8,34e,2c6,ffc0,ff97,ff3c
ed81,f0,34c,2ce,53,ffa8,ff28
ecb3,e2,340,2dc,94,ffb8,ff2e
eea2,fe,34c,2dc,ff62,ffa0,fff3
eea0,f0,34c,2ce,ff60,ffa4,ffd7
ef27,ec,356,2dc,ff5c,ffae,4d
f168,f0,34e,2cc,ff53,ffb5,4f
f39e,e0,358,2e0,ff47,ffbf,4d
f44a,e2,358,2dc,ff44,ffca,40
f72a,de,350,2e0,ff62,ffd8,20
f864,f6,352,2de,ff8e,ffea,3
f982,ee,350,2de,ffaa,1,ff1e
fbc0,fe,35e,2dc,ff9c,1b,ff19
fbac,de,358,2dc,ff92,28,ffb8
fb1b,e6,350,2c8,ffa1,30,ff92
fcc2,e0,352,2ce,ffcb,28,ff6b
fc9b,e2,358,2ce,fff6,1b,ff41
fb88,e2,358,2ce,ffa9,11,ff20
fd77,ec,350,2ce,ffb1,2,ff18
fd65,ee,34c,2ce,9,fff0,fed8
fba1,f0,346,2d2,ffe9,ffe2,fee6
