ef08,70,42,fdb0
fa10,58,58,fdbc
12b,60,46,fdb8
365,70,52,fda6
126,5e,50,fdb8
fd4a,50,52,fdbc
f9c3,70,4c,fdb0
f992,62,50,fdb2
fa4a,6e,4e,fdb0
fc35,66,4e,fdb0
c,70,4e,fdb0
55f,72,4e,fda0
a9a,50,46,fdb8
106b,56,50,fdb8
172f,5c,4e,fdae
1e31,60,46,fdb8
24a4,6e,4e,fdb6
2919,60,4e,fda0
2be1,4e,4e,fdb6
2d9a,62,4c,fda2
30d7,60,4c,fda6
3523,70,52,fda2
38fe,58,52,fdbc
3c30,66,58,fdb0
3ddb,6c,46,fdb2
3e5a,6c,46,fdb0
3e97,6c,4e,fdb0
3ee7,5c,46,fdb6
3eb5,60,4e,fda2
3cd2,66,46,fdac
3627,70,4e,fda2
25db,70,52,fd9e
a27,60,50,fdb6
e56a,70,42,fda6
c04e,66,4e,fda8
a24e,6e,4e,fdb0
9000,6c,52,fdb0
899f,70,3e,fdae
8cdd,68,46,fdac
96f1,72,50,fda2
a366,58,4e,fdb8
af17,66,4e,fdb2
bb68,66,4e,fdac
c839,70,4e,fdb2
d431,60,4c,fdae
dcbc,58,42,fdb0
e271,5e,4c,fd9e
e3de,60,4c,fda6
e38a,72,4e,fdb2
e30e,5c,52,fdb8
e4b4,58,4e,fdc0
e869,62,4e,fdb0
ee3b,6e,46,fdb0
f512,60,48,fdb8
fcf8,66,4e,fdb0
592,60,4e,fd9e
ed2,70,4e,fdb0
1737,5c,56,fdbe
1efa,58,4e,fdb8
24ce,62,52,fdb0
2852,60,48,fdb6
2aea,70,42,fdae
2dc2,66,4e,fdb0
3001,62,52,fdb0
32e0,70,4e,fdb0
3484,5c,42,fdb0
362a,70,4e,fda6
3713,58,50,fdbc
37cd,5c,4c,fdb0
3908,62,4e,fdae
3a08,70,4c,fda6
3cd6,60,4e,fdae
3edb,5e,4e,fda6
4147,4e,58,fdb8
4187,60,48,fdae
4026,70,52,fd9e
375b,5c,4c,fdae
22ac,6e,4c,fdb0
28a,62,4e,fda6
ddcb,5e,4c,fda0
bd4e,66,56,fdb0
a72a,66,4e,fdb0
9db2,5e,48,fda6
9d8d,70,4e,fdb2
a420,62,4c,fdb8
adec,6e,3e,fdac
b8e8,6e,50,fda0
c41f,58,4e,fdbe
cf30,5e,4c,fdb0
d9cf,60,4e,fda2
e2b2,60,52,fdb8
e978,70,4e,fdb0
ecb7,70,48,fdae
ece0,70,4e,fdb0
